num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2020S019534;01/01/2021;4:30:00;AVDA. PABLO NERUDA / CALL. LEONESES;57;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;"444976,463";"4470508,259";N;NULL
2020S019534;01/01/2021;4:30:00;AVDA. PABLO NERUDA / CALL. LEONESES;57;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"444976,463";"4470508,259";N;NULL
2020S019534;01/01/2021;4:30:00;AVDA. PABLO NERUDA / CALL. LEONESES;57;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"444976,463";"4470508,259";N;NULL
2020S019534;01/01/2021;4:30:00;AVDA. PABLO NERUDA / CALL. LEONESES;57;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 10 a 14 años;Hombre;14;Sin asistencia sanitaria;"444976,463";"4470508,259";N;NULL
2020S019534;01/01/2021;4:30:00;AVDA. PABLO NERUDA / CALL. LEONESES;57;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;"444976,463";"4470508,259";N;NULL
2021S000001;01/01/2021;0:50:00;AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;2;Ingreso inferior o igual a 24 horas;"438932,768";"4469499,175";N;NULL
2021S000001;01/01/2021;0:50:00;AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;"438932,768";"4469499,175";N;NULL
2021S000001;01/01/2021;0:50:00;AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 15 a 17 años;Hombre;2;Ingreso inferior o igual a 24 horas;"438932,768";"4469499,175";N;NULL
2021S000001;01/01/2021;0:50:00;AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;"438932,768";"4469499,175";N;NULL
2021S000001;01/01/2021;0:50:00;AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS;1;12;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;Menor de 5 años;Hombre;2;Ingreso inferior o igual a 24 horas;"438932,768";"4469499,175";N;NULL
2021S000003;01/01/2021;0:30:00;ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS;1;14;MORATALAZ;Colisión frontal;Lluvia débil;Turismo;Conductor;De 40 a 44 años;Hombre;3;Ingreso superior a 24 horas;"444753,821";"4473923,981";S;NULL
2021S000003;01/01/2021;0:30:00;ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS;1;14;MORATALAZ;Colisión frontal;Lluvia débil;Turismo;Conductor;De 45 a 49 años;Mujer;2;Ingreso inferior o igual a 24 horas;"444753,821";"4473923,981";S;NULL
2021S000004;01/01/2021;1:30:00;"PASEO. CASTELLANA, 4";4;4;SALAMANCA;Atropello a persona;Nublado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;"441477,643";"4475364,891";N;NULL
2021S000004;01/01/2021;1:30:00;"PASEO. CASTELLANA, 4";4;4;SALAMANCA;Atropello a persona;Nublado;Turismo;Peatón;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;"441477,643";"4475364,891";N;NULL
2021S000005;01/01/2021;1:15:00;CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO;10;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Nublado;Turismo;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"444764,279";"4470523,153";N;NULL
2021S000005;01/01/2021;1:15:00;CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO;10;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Nublado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;"444764,279";"4470523,153";N;NULL
